year,month,date,CO2,interpolatedCO2,trend,dataDays
1958,3,1958.2080,315.71,315.71,314.62,-1
1958,4,1958.2920,317.45,317.45,315.29,-1
1958,5,1958.3750,317.50,317.50,314.71,-1
1958,6,1958.4580,-99.99,317.10,314.85,-1
1958,7,1958.5420,315.86,315.86,314.98,-1
1958,8,1958.6250,314.93,314.93,315.94,-1
1958,9,1958.7080,313.20,313.20,315.91,-1
1958,10,1958.7920,-99.99,312.66,315.61,-1
1958,11,1958.8750,313.33,313.33,315.31,-1
1958,12,1958.9580,314.67,314.67,315.61,-1
1959,1,1959.0420,315.62,315.62,315.70,-1
1959,2,1959.1250,316.38,316.38,315.88,-1
1959,3,1959.2080,316.71,316.71,315.62,-1
1959,4,1959.2920,317.72,317.72,315.56,-1
1959,5,1959.3750,318.29,318.29,315.50,-1
1959,6,1959.4580,318.15,318.15,315.92,-1
1959,7,1959.5420,316.54,316.54,315.66,-1
1959,8,1959.6250,314.80,314.80,315.81,-1
1959,9,1959.7080,313.84,313.84,316.55,-1
1959,10,1959.7920,313.26,313.26,316.19,-1
1959,11,1959.8750,314.80,314.80,316.78,-1
1959,12,1959.9580,315.58,315.58,316.52,-1
1960,1,1960.0420,316.43,316.43,316.51,-1
1960,2,1960.1250,316.97,316.97,316.47,-1
1960,3,1960.2080,317.58,317.58,316.49,-1
1960,4,1960.2920,319.02,319.02,316.86,-1
1960,5,1960.3750,320.03,320.03,317.24,-1
1960,6,1960.4580,319.59,319.59,317.36,-1
1960,7,1960.5420,318.18,318.18,317.30,-1
1960,8,1960.6250,315.91,315.91,316.92,-1
1960,9,1960.7080,314.16,314.16,316.87,-1
1960,10,1960.7920,313.83,313.83,316.76,-1
1960,11,1960.8750,315.00,315.00,316.98,-1
1960,12,1960.9580,316.19,316.19,317.13,-1
1961,1,1961.0420,316.93,316.93,317.03,-1
1961,2,1961.1250,317.70,317.70,317.28,-1
1961,3,1961.2080,318.54,318.54,317.47,-1
1961,4,1961.2920,319.48,319.48,317.27,-1
1961,5,1961.3750,320.58,320.58,317.70,-1
1961,6,1961.4580,319.77,319.77,317.48,-1
1961,7,1961.5420,318.57,318.57,317.70,-1
1961,8,1961.6250,316.79,316.79,317.80,-1
1961,9,1961.7080,314.80,314.80,317.49,-1
1961,10,1961.7920,315.38,315.38,318.35,-1
1961,11,1961.8750,316.10,316.10,318.13,-1
1961,12,1961.9580,317.01,317.01,317.94,-1
1962,1,1962.0420,317.94,317.94,318.06,-1
1962,2,1962.1250,318.56,318.56,318.11,-1
1962,3,1962.2080,319.68,319.68,318.57,-1
1962,4,1962.2920,320.63,320.63,318.45,-1
1962,5,1962.3750,321.01,321.01,318.20,-1
1962,6,1962.4580,320.55,320.55,318.27,-1
1962,7,1962.5420,319.58,319.58,318.67,-1
1962,8,1962.6250,317.40,317.40,318.48,-1
1962,9,1962.7080,316.26,316.26,319.03,-1
1962,10,1962.7920,315.42,315.42,318.33,-1
1962,11,1962.8750,316.69,316.69,318.62,-1
1962,12,1962.9580,317.69,317.69,318.61,-1
1963,1,1963.0420,318.74,318.74,318.91,-1
1963,2,1963.1250,319.08,319.08,318.68,-1
1963,3,1963.2080,319.86,319.86,318.69,-1
1963,4,1963.2920,321.39,321.39,319.09,-1
1963,5,1963.3750,322.25,322.25,319.39,-1
1963,6,1963.4580,321.47,321.47,319.16,-1
1963,7,1963.5420,319.74,319.74,318.77,-1
1963,8,1963.6250,317.77,317.77,318.83,-1
1963,9,1963.7080,316.21,316.21,319.06,-1
1963,10,1963.7920,315.99,315.99,319.00,-1
1963,11,1963.8750,317.12,317.12,319.10,-1
1963,12,1963.9580,318.31,318.31,319.25,-1
1964,1,1964.0420,319.57,319.57,319.67,-1
1964,2,1964.1250,-99.99,320.07,319.61,-1
1964,3,1964.2080,-99.99,320.73,319.55,-1
1964,4,1964.2920,-99.99,321.77,319.48,-1
1964,5,1964.3750,322.25,322.25,319.42,-1
1964,6,1964.4580,321.89,321.89,319.69,-1
1964,7,1964.5420,320.44,320.44,319.58,-1
1964,8,1964.6250,318.70,318.70,319.81,-1
1964,9,1964.7080,316.70,316.70,319.56,-1
1964,10,1964.7920,316.79,316.79,319.78,-1
1964,11,1964.8750,317.79,317.79,319.72,-1
1964,12,1964.9580,318.71,318.71,319.59,-1
1965,1,1965.0420,319.44,319.44,319.48,-1
1965,2,1965.1250,320.44,320.44,319.97,-1
1965,3,1965.2080,320.89,320.89,319.65,-1
1965,4,1965.2920,322.13,322.13,319.80,-1
1965,5,1965.3750,322.16,322.16,319.36,-1
1965,6,1965.4580,321.87,321.87,319.65,-1
1965,7,1965.5420,321.39,321.39,320.51,-1
1965,8,1965.6250,318.81,318.81,319.93,-1
1965,9,1965.7080,317.81,317.81,320.68,-1
1965,10,1965.7920,317.30,317.30,320.36,-1
1965,11,1965.8750,318.87,318.87,320.87,-1
1965,12,1965.9580,319.42,319.42,320.26,-1
1966,1,1966.0420,320.62,320.62,320.63,-1
1966,2,1966.1250,321.59,321.59,321.10,-1
1966,3,1966.2080,322.39,322.39,321.16,-1
1966,4,1966.2920,323.87,323.87,321.51,-1
1966,5,1966.3750,324.01,324.01,321.18,-1
1966,6,1966.4580,323.75,323.75,321.52,-1
1966,7,1966.5420,322.39,322.39,321.49,-1
1966,8,1966.6250,320.37,320.37,321.50,-1
1966,9,1966.7080,318.64,318.64,321.54,-1
1966,10,1966.7920,318.10,318.10,321.18,-1
1966,11,1966.8750,319.79,319.79,321.84,-1
1966,12,1966.9580,321.08,321.08,321.95,-1
1967,1,1967.0420,322.07,322.07,322.07,-1
1967,2,1967.1250,322.50,322.50,321.94,-1
1967,3,1967.2080,323.04,323.04,321.72,-1
1967,4,1967.2920,324.42,324.42,322.05,-1
1967,5,1967.3750,325.00,325.00,322.27,-1
1967,6,1967.4580,324.09,324.09,321.94,-1
1967,7,1967.5420,322.55,322.55,321.66,-1
1967,8,1967.6250,320.92,320.92,322.04,-1
1967,9,1967.7080,319.31,319.31,322.19,-1
1967,10,1967.7920,319.31,319.31,322.36,-1
1967,11,1967.8750,320.72,320.72,322.78,-1
1967,12,1967.9580,321.96,321.96,322.86,-1
1968,1,1968.0420,322.57,322.57,322.55,-1
1968,2,1968.1250,323.15,323.15,322.56,-1
1968,3,1968.2080,323.89,323.89,322.59,-1
1968,4,1968.2920,325.02,325.02,322.73,-1
1968,5,1968.3750,325.57,325.57,322.87,-1
1968,6,1968.4580,325.36,325.36,323.20,-1
1968,7,1968.5420,324.14,324.14,323.25,-1
1968,8,1968.6250,322.03,322.03,323.15,-1
1968,9,1968.7080,320.41,320.41,323.31,-1
1968,10,1968.7920,320.25,320.25,323.32,-1
1968,11,1968.8750,321.31,321.31,323.32,-1
1968,12,1968.9580,322.84,322.84,323.69,-1
1969,1,1969.0420,324.00,324.00,323.98,-1
1969,2,1969.1250,324.42,324.42,323.89,-1
1969,3,1969.2080,325.64,325.64,324.41,-1
1969,4,1969.2920,326.66,326.66,324.35,-1
1969,5,1969.3750,327.34,327.34,324.57,-1
1969,6,1969.4580,326.76,326.76,324.63,-1
1969,7,1969.5420,325.88,325.88,325.08,-1
1969,8,1969.6250,323.67,323.67,324.80,-1
1969,9,1969.7080,322.38,322.38,325.28,-1
1969,10,1969.7920,321.78,321.78,324.84,-1
1969,11,1969.8750,322.85,322.85,324.78,-1
1969,12,1969.9580,324.11,324.11,324.88,-1
1970,1,1970.0420,325.03,325.03,325.04,-1
1970,2,1970.1250,325.99,325.99,325.42,-1
1970,3,1970.2080,326.87,326.87,325.69,-1
1970,4,1970.2920,328.13,328.13,325.86,-1
1970,5,1970.3750,328.07,328.07,325.27,-1
1970,6,1970.4580,327.66,327.66,325.52,-1
1970,7,1970.5420,326.35,326.35,325.51,-1
1970,8,1970.6250,324.69,324.69,325.76,-1
1970,9,1970.7080,323.10,323.10,325.93,-1
1970,10,1970.7920,323.16,323.16,326.15,-1
1970,11,1970.8750,323.98,323.98,325.96,-1
1970,12,1970.9580,325.13,325.13,326.06,-1
1971,1,1971.0420,326.17,326.17,326.26,-1
1971,2,1971.1250,326.68,326.68,326.09,-1
1971,3,1971.2080,327.18,327.18,325.94,-1
1971,4,1971.2920,327.78,327.78,325.47,-1
1971,5,1971.3750,328.92,328.92,326.11,-1
1971,6,1971.4580,328.57,328.57,326.41,-1
1971,7,1971.5420,327.34,327.34,326.46,-1
1971,8,1971.6250,325.46,325.46,326.49,-1
1971,9,1971.7080,323.36,323.36,326.18,-1
1971,10,1971.7920,323.57,323.57,326.58,-1
1971,11,1971.8750,324.80,324.80,326.82,-1
1971,12,1971.9580,326.01,326.01,327.02,-1
1972,1,1972.0420,326.77,326.77,326.86,-1
1972,2,1972.1250,327.63,327.63,327.05,-1
1972,3,1972.2080,327.75,327.75,326.52,-1
1972,4,1972.2920,329.72,329.72,327.41,-1
1972,5,1972.3750,330.07,330.07,327.21,-1
1972,6,1972.4580,329.09,329.09,326.94,-1
1972,7,1972.5420,328.05,328.05,327.24,-1
1972,8,1972.6250,326.32,326.32,327.37,-1
1972,9,1972.7080,324.93,324.93,327.73,-1
1972,10,1972.7920,325.06,325.06,328.05,-1
1972,11,1972.8750,326.50,326.50,328.50,-1
1972,12,1972.9580,327.55,327.55,328.56,-1
1973,1,1973.0420,328.54,328.54,328.58,-1
1973,2,1973.1250,329.56,329.56,328.87,-1
1973,3,1973.2080,330.30,330.30,328.99,-1
1973,4,1973.2920,331.50,331.50,329.12,-1
1973,5,1973.3750,332.48,332.48,329.60,-1
1973,6,1973.4580,332.07,332.07,329.96,-1
1973,7,1973.5420,330.87,330.87,330.09,-1
1973,8,1973.6250,329.31,329.31,330.43,-1
1973,9,1973.7080,327.51,327.51,330.43,-1
1973,10,1973.7920,327.18,327.18,330.23,-1
1973,11,1973.8750,328.16,328.16,330.17,-1
1973,12,1973.9580,328.64,328.64,329.66,-1
1974,1,1974.0420,329.35,329.35,329.44,-1
1974,2,1974.1250,330.71,330.71,330.11,-1
1974,3,1974.2080,331.48,331.48,330.19,-1
1974,4,1974.2920,332.65,332.65,330.25,-1
1974,5,1974.3750,333.19,333.19,330.25,15
1974,6,1974.4580,332.12,332.12,329.93,27
1974,7,1974.5420,330.99,330.99,330.20,31
1974,8,1974.6250,329.17,329.17,330.31,31
1974,9,1974.7080,327.41,327.41,330.35,29
1974,10,1974.7920,327.21,327.21,330.29,29
1974,11,1974.8750,328.34,328.34,330.33,29
1974,12,1974.9580,329.50,329.50,330.47,31
1975,1,1975.0420,330.68,330.68,330.81,31
1975,2,1975.1250,331.41,331.41,330.86,28
1975,3,1975.2080,331.85,331.85,330.49,26
1975,4,1975.2920,333.29,333.29,330.77,30
1975,5,1975.3750,333.91,333.91,330.94,30
1975,6,1975.4580,333.40,333.40,331.18,29
1975,7,1975.5420,331.74,331.74,330.92,27
1975,8,1975.6250,329.88,329.88,331.06,31
1975,9,1975.7080,328.57,328.57,331.54,30
1975,10,1975.7920,328.36,328.36,331.46,17
1975,11,1975.8750,329.33,329.33,331.39,25
1975,12,1975.9580,-99.99,330.59,331.60,1
1976,1,1976.0420,331.66,331.66,331.82,25
1976,2,1976.1250,332.75,332.75,332.19,29
1976,3,1976.2080,333.46,333.46,331.99,29
1976,4,1976.2920,334.78,334.78,332.24,25
1976,5,1976.3750,334.78,334.78,331.86,31
1976,6,1976.4580,334.06,334.06,331.74,25
1976,7,1976.5420,332.95,332.95,332.06,21
1976,8,1976.6250,330.64,330.64,331.87,31
1976,9,1976.7080,328.96,328.96,331.94,28
1976,10,1976.7920,328.77,328.77,331.92,30
1976,11,1976.8750,330.18,330.18,332.33,26
1976,12,1976.9580,331.65,331.65,332.69,24
1977,1,1977.0420,332.69,332.69,332.75,29
1977,2,1977.1250,333.23,333.23,332.60,26
1977,3,1977.2080,334.97,334.97,333.36,29
1977,4,1977.2920,336.03,336.03,333.39,29
1977,5,1977.3750,336.82,336.82,333.87,30
1977,6,1977.4580,336.10,336.10,333.76,25
1977,7,1977.5420,334.79,334.79,333.96,28
1977,8,1977.6250,332.53,332.53,333.92,30
1977,9,1977.7080,331.19,331.19,334.27,27
